Number:0, mass:1, radius:0.01
time,x,y,z,x_,y_,z_
7.6, 0.260738, 0.947523, 0.401511, -1.02187, -0.48421, -1.64446
7.7, 0.15864, 0.898563, 0.237295, -1.0202, -0.496021, -1.63868
7.8, 0.0566531, 0.848237, 0.074027, -1.01984, -0.510016, -1.6258
7.9, 0.934633, 0.796967, 0.891808, -1.02069, -0.513042, -1.62189
8, 0.832438, 0.745736, 0.729457, -1.02378, -0.511017, -1.62636
8.1, 0.729888, 0.694847, 0.566472, -1.02656, -0.507078, -1.63187
8.2, 0.627087, 0.644246, 0.4032, -1.03134, -0.504291, -1.63359
8.3, 0.523696, 0.593984, 0.239912, -1.03477, -0.502041, -1.63231
8.4, 0.420222, 0.543769, 0.0766951, -1.03469, -0.502255, -1.63208
8.5, 0.316779, 0.493918, 0.89307, -1.03356, -0.481415, -1.65291
8.6, 0.21095, 0.444281, 0.719341, -1.20912, -0.991851, -1.77199
8.7, 0.0932617, 0.367221, 0.563694, -1.11868, -0.711997, -1.48211
8.8, 0.0111536, 0.273866, 0.410151, 0.16208, -1.67485, -1.72355
8.9, 0.0273703, 0.106411, 0.237826, 0.161784, -1.66904, -1.72144
9, 0.044214, 0.922238, 0.0662288, 0.171475, -1.63597, -1.71562
9.1, 0.0613815, 0.758575, 0.874596, 0.172424, -1.63881, -1.71873
9.2, 0.0799319, 0.593068, 0.7003, 0.227693, -1.68508, -1.80854
9.3, 0.124615, 0.437407, 0.497722, 0.726495, -1.22696, -2.19831
9.4, 0.207555, 0.349028, 0.289508, 0.843037, -0.720073, -1.96388
9.5, 0.290787, 0.277422, 0.0958915, 0.827384, -0.71642, -1.92544
9.6, 0.372656, 0.20524, 0.883388, 0.811267, -0.726534, -1.92624
9.7, 0.4819, 0.240581, 0.682646, 1.286, 1.16799, -2.07086
9.8, 0.588347, 0.369401, 0.455748, 0.734159, 1.39551, -2.36471
9.9, 0.657452, 0.508931, 0.221386, 0.682788, 1.39309, -2.33798
10, 0.725712, 0.648241, 0.967633, 0.682694, 1.39358, -2.3373
10.1, 0.802415, 0.786614, 0.732374, 1.06752, 1.28733, -2.31776
10.2, 0.914451, 0.908258, 0.508985, 1.12391, 1.20824, -2.22345
10.3, 0.0479564, 0.0520476, 0.287082, 1.18728, 1.4391, -2.17996
10.4, 0.168246, 0.19149, 0.0680856, 1.19613, 1.39923, -2.18168
10.5, 0.286783, 0.333269, 0.830683, 1.18329, 1.42067, -2.17257
10.6, 0.4049, 0.47539, 0.614141, 1.18004, 1.42115, -2.15999
10.7, 0.522888, 0.617489, 0.398178, 1.17988, 1.42111, -2.15914
10.8, 0.640875, 0.7596, 0.182278, 1.17985, 1.42108, -2.15893
10.9, 0.758532, 0.900699, 0.946602, 1.17519, 1.40248, -2.15815
11, 0.875994, 0.0608099, 0.730623, 1.17448, 1.401, -2.1602
11.1, 0.1286, 0.219956, 0.743, 2.81596, 1.66107, 1.0669
11.2, 0.411781, 0.388727, 0.849661, 2.84301, 1.72219, 1.06745
11.3, 0.695755, 0.560273, 0.955927, 2.83461, 1.70311, 1.05441
11.4, 0.981607, 0.731375, 0.0567893, 3.78288, 1.74421, -7.27167
11.5, 0.379634, 0.904569, 0.309973, 3.78432, 1.71788, -7.27759
11.6, 0.758061, 0.0963709, 0.56221, 3.78399, 1.71853, -7.2782
11.7, 0.156292, 0.268238, 0.814259, 3.78219, 1.71889, -7.27952
11.8, 0.536847, 0.433049, 0.0874551, 3.79789, 1.61378, -7.23202
11.9, 0.933629, 0.598315, 0.341462, 4.05613, 1.71918, -7.27636
12, 0.20713, 0.30566, 0.0217736, -12.9239, -114.46, 53.2971
12.1, 0.440448, 0.919792, 0.0989942, 1053.81, 244.17, -1457.83
12.2, 0.333846, 0.494869, 0.127988, 1978.99, -1917.07, -4177.04
