Number:0, mass:1, radius:0.001
time,x,y,z
5.61, -1.88571e+07, -476436, -3.51876e+06
5.62, -1.88931e+07, -416605, -3.34453e+06
5.63, -1.89191e+07, -346774, -3.1603e+06
5.64, -1.89352e+07, -266943, -2.96606e+06
5.65, -1.89412e+07, -177112, -2.76183e+06
5.66, -1.89372e+07, -77281.6, -2.5476e+06
5.67, -1.89232e+07, 31679.2, -2.32336e+06
5.68, -1.88993e+07, 135610, -2.08913e+06
5.69, -1.88653e+07, 229541, -1.8449e+06
5.7, -1.88213e+07, 313472, -1.59066e+06
5.71, -1.87673e+07, 387402, -1.32643e+06
5.72, -1.87034e+07, 451333, -1.0522e+06
5.73, -1.86294e+07, 505264, -767964
5.74, -1.85454e+07, 549195, -473731
5.75, -1.84514e+07, 583126, -169498
5.76, -1.83475e+07, 607056, 142574
5.77, -1.82335e+07, 620987, 447507
5.78, -1.81095e+07, 624918, 742440
5.79, -1.79756e+07, 618849, 1.02737e+06
5.8, -1.78316e+07, 602780, 1.30231e+06
5.81, -1.76776e+07, 576710, 1.56724e+06
5.82, -1.75136e+07, 540641, 1.82217e+06
5.83, -1.73397e+07, 494572, 2.06711e+06
5.84, -1.71557e+07, 438503, 2.30204e+06
5.85, -1.69617e+07, 372434, 2.52697e+06
5.86, -1.67577e+07, 296364, 2.74191e+06
5.87, -1.65438e+07, 210295, 2.94684e+06
5.88, -1.63198e+07, 114226, 3.14177e+06
5.89, -1.60858e+07, 8156.9, 3.32671e+06
5.9, -1.58418e+07, -99170.3, 3.50164e+06
5.91, -1.55879e+07, -196539, 3.66657e+06
5.92, -1.53239e+07, -283909, 3.82151e+06
5.93, -1.50499e+07, -361278, 3.96644e+06
5.94, -1.4766e+07, -428647, 4.10137e+06
5.95, -1.4472e+07, -486016, 4.22631e+06
5.96, -1.4168e+07, -533385, 4.34124e+06
5.97, -1.3854e+07, -570755, 4.44617e+06
5.98, -1.35301e+07, -598124, 4.54111e+06
5.99, -1.31961e+07, -615493, 4.62604e+06
6, -1.28521e+07, -622862, 4.70097e+06
6.01, -1.24981e+07, -620231, 4.76591e+06
6.02, -1.21342e+07, -607601, 4.82084e+06
6.03, -1.17602e+07, -584970, 4.86577e+06
6.04, -1.13762e+07, -552339, 4.90071e+06
6.05, -1.09822e+07, -509708, 4.92564e+06
6.06, -1.05783e+07, -457077, 4.94057e+06
6.07, -1.01643e+07, -394447, 4.94551e+06
6.08, -9.74033e+06, -321816, 4.94044e+06
6.09, -9.30636e+06, -239185, 4.92537e+06
6.1, -8.86238e+06, -146554, 4.90031e+06
6.11, -8.40841e+06, -43923.5, 4.86524e+06
6.12, -7.94444e+06, 65047.3, 4.82017e+06
6.13, -7.47046e+06, 165578, 4.76511e+06
6.14, -6.98649e+06, 256109, 4.70004e+06
6.15, -6.49252e+06, 336640, 4.62497e+06
6.16, -5.98854e+06, 407171, 4.53991e+06
6.17, -5.47457e+06, 467701, 4.44484e+06
6.18, -4.9506e+06, 518232, 4.33977e+06
6.19, -4.41662e+06, 558763, 4.22471e+06
6.2, -3.87265e+06, 589294, 4.09964e+06
6.21, -3.31868e+06, 609825, 3.96457e+06
6.22, -2.7547e+06, 620355, 3.81951e+06
6.23, -2.18073e+06, 620886, 3.66444e+06
6.24, -1.59676e+06, 611417, 3.49937e+06
6.25, -1.00278e+06, 591948, 3.32431e+06
6.26, -398810, 562479, 3.13924e+06
6.27, 213903, 523009, 2.94417e+06
6.28, 820776, 473540, 2.73911e+06
6.29, 1.41765e+06, 414071, 2.52404e+06
6.3, 2.00452e+06, 344602, 2.29897e+06
6.31, 2.5814e+06, 265133, 2.06391e+06
6.32, 3.14827e+06, 175663, 1.81884e+06
6.33, 3.70514e+06, 76194.2, 1.56377e+06
6.34, 4.25202e+06, -32345, 1.29871e+06
6.35, 4.78889e+06, -135714, 1.02364e+06
6.36, 5.31576e+06, -229083, 738573
6.37, 5.83264e+06, -312453, 443506
6.38, 6.33951e+06, -385822, 138439
6.39, 6.83638e+06, -449191, -173435
6.4, 7.32325e+06, -502560, -477202
6.41, 7.80013e+06, -545929, -770969
6.42, 8.267e+06, -579299, -1.05474e+06
6.43, 8.72387e+06, -602668, -1.3285e+06
6.44, 9.17075e+06, -616037, -1.59227e+06
6.45, 9.60762e+06, -619406, -1.84604e+06
6.46, 1.00345e+07, -612775, -2.0898e+06
6.47, 1.04514e+07, -596145, -2.32357e+06
6.48, 1.08582e+07, -569514, -2.54734e+06
6.49, 1.12551e+07, -532883, -2.7611e+06
6.5, 1.1642e+07, -486252, -2.96487e+06
6.51, 1.20189e+07, -429621, -3.15864e+06
6.52, 1.23857e+07, -362991, -3.3424e+06
6.53, 1.27426e+07, -286360, -3.51617e+06
6.54, 1.30895e+07, -199729, -3.67994e+06
6.55, 1.34264e+07, -103098, -3.8337e+06
6.56, 1.37532e+07, 3512.65, -3.97747e+06
6.57, 1.40701e+07, 109243, -4.11124e+06
6.58, 1.4377e+07, 204974, -4.235e+06
6.59, 1.46738e+07, 290705, -4.34877e+06
6.6, 1.49607e+07, 366436, -4.45254e+06
6.61, 1.52376e+07, 432167, -4.5463e+06
6.62, 1.55045e+07, 487897, -4.63007e+06
6.63, 1.57613e+07, 533628, -4.70384e+06
6.64, 1.60082e+07, 569359, -4.7676e+06
6.65, 1.62451e+07, 595090, -4.82137e+06
6.66, 1.6472e+07, 610821, -4.86514e+06
6.67, 1.66888e+07, 616551, -4.8989e+06
6.68, 1.68957e+07, 612282, -4.92267e+06
6.69, 1.70926e+07, 598013, -4.93644e+06
6.7, 1.72795e+07, 573744, -4.9402e+06
6.71, 1.74563e+07, 539475, -4.93397e+06
6.72, 1.76232e+07, 495205, -4.91774e+06
6.73, 1.77801e+07, 440936, -4.8915e+06
6.74, 1.79269e+07, 376667, -4.85527e+06
6.75, 1.80638e+07, 302398, -4.80904e+06
6.76, 1.81907e+07, 218129, -4.7528e+06
6.77, 1.83076e+07, 123859, -4.68657e+06
6.78, 1.84144e+07, 19590.3, -4.61034e+06
6.79, 1.85113e+07, -87706.9, -4.5241e+06
6.8, 1.85982e+07, -185276, -4.42787e+06
6.81, 1.86751e+07, -272845, -4.32164e+06
6.82, 1.87419e+07, -350414, -4.2054e+06
6.83, 1.87988e+07, -417984, -4.07917e+06
6.84, 1.88457e+07, -475553, -3.94294e+06
6.85, 1.88826e+07, -523122, -3.7967e+06
6.86, 1.89094e+07, -560691, -3.64047e+06
6.87, 1.89263e+07, -588260, -3.47424e+06
6.88, 1.89332e+07, -605830, -3.298e+06
6.89, 1.893e+07, -613399, -3.11177e+06
6.9, 1.89169e+07, -610968, -2.91554e+06
6.91, 1.88938e+07, -598537, -2.7093e+06
6.92, 1.88607e+07, -576106, -2.49307e+06
6.93, 1.88175e+07, -543676, -2.26684e+06
6.94, 1.87644e+07, -501245, -2.0306e+06
6.95, 1.87013e+07, -448814, -1.78437e+06
6.96, 1.86282e+07, -386383, -1.52814e+06
6.97, 1.8545e+07, -313952, -1.2619e+06
6.98, 1.84519e+07, -231522, -985670
6.99, 1.83488e+07, -139091, -699436
7, 1.82356e+07, -36660.1, -403203
7.01, 1.81125e+07, 71214.7, -96969.8
7.02, 1.79794e+07, 170146, 214434
7.03, 1.78363e+07, 259076, 516767
7.04, 1.76831e+07, 338007, 809100
7.05, 1.752e+07, 406938, 1.09143e+06
7.06, 1.73469e+07, 465869, 1.36377e+06
7.07, 1.71638e+07, 514800, 1.6261e+06
7.08, 1.69706e+07, 553730, 1.87843e+06
7.09, 1.67675e+07, 582661, 2.12077e+06
7.1, 1.65544e+07, 601592, 2.3531e+06
7.11, 1.63313e+07, 610523, 2.57543e+06
7.12, 1.60981e+07, 609454, 2.78777e+06
7.13, 1.5855e+07, 598384, 2.9901e+06
7.14, 1.56019e+07, 577315, 3.18243e+06
7.15, 1.53387e+07, 546246, 3.36477e+06
7.16, 1.50656e+07, 505177, 3.5371e+06
7.17, 1.47825e+07, 454108, 3.69943e+06
7.18, 1.44894e+07, 393038, 3.85177e+06
7.19, 1.41862e+07, 321969, 3.9941e+06
7.2, 1.38731e+07, 240900, 4.12643e+06
7.21, 1.355e+07, 149831, 4.24877e+06
7.22, 1.32169e+07, 48761.6, 4.3611e+06
7.23, 1.28737e+07, -59227.6, 4.46343e+06
7.24, 1.25206e+07, -159197, 4.55577e+06
7.25, 1.21575e+07, -249166, 4.6381e+06
7.26, 1.17844e+07, -329135, 4.71043e+06
7.27, 1.14012e+07, -399104, 4.77277e+06
7.28, 1.10081e+07, -459074, 4.8251e+06
7.29, 1.0605e+07, -509043, 4.86743e+06
7.3, 1.01918e+07, -549012, 4.89977e+06
7.31, 9.76872e+06, -578981, 4.9221e+06
7.32, 9.33559e+06, -598950, 4.93443e+06
7.33, 8.89247e+06, -608920, 4.93677e+06
7.34, 8.43934e+06, -608889, 4.9291e+06
7.35, 7.97621e+06, -598858, 4.91143e+06
7.36, 7.50309e+06, -578827, 4.88377e+06
7.37, 7.01996e+06, -548796, 4.8461e+06
7.38, 6.52683e+06, -508766, 4.79843e+06
7.39, 6.02371e+06, -458735, 4.74077e+06
7.4, 5.51058e+06, -398704, 4.6731e+06
7.41, 4.98745e+06, -328673, 4.59543e+06
7.42, 4.45433e+06, -248642, 4.50777e+06
7.43, 3.9112e+06, -158612, 4.4101e+06
7.44, 3.35807e+06, -58580.8, 4.30243e+06
7.45, 2.79494e+06, 49288, 4.18477e+06
7.46, 2.22182e+06, 150019, 4.0571e+06
7.47, 1.63869e+06, 240750, 3.91943e+06
7.48, 1.04556e+06, 321480, 3.77177e+06
7.49, 442438, 392211, 3.6141e+06
7.5, -169877, 452942, 3.44643e+06
7.51, -777304, 503673, 3.26877e+06
7.52, -1.37473e+06, 544404, 3.0811e+06
7.53, -1.96216e+06, 575134, 2.88343e+06
7.54, -2.53958e+06, 595865, 2.67577e+06
7.55, -3.10701e+06, 606596, 2.4581e+06
7.56, -3.66444e+06, 607327, 2.23043e+06
7.57, -4.21186e+06, 598058, 1.99277e+06
7.58, -4.74929e+06, 578788, 1.7451e+06
7.59, -5.27672e+06, 549519, 1.48743e+06
7.6, -5.79414e+06, 510250, 1.21977e+06
7.61, -6.30157e+06, 460981, 942099
7.62, -6.799e+06, 401712, 654433
7.63, -7.28642e+06, 332442, 356766
7.64, -7.76385e+06, 253173, 49099.1
7.65, -8.23128e+06, 163904, -261258
7.66, -8.68871e+06, 64634.9, -561824
7.67, -9.13613e+06, -42994.3, -852391
7.68, -9.57356e+06, -144164, -1.13296e+06
7.69, -1.0001e+07, -235333, -1.40352e+06
7.7, -1.04184e+07, -316502, -1.66409e+06
7.71, -1.08258e+07, -387671, -1.91466e+06
7.72, -1.12233e+07, -448840, -2.15522e+06
7.73, -1.16107e+07, -500009, -2.38579e+06
7.74, -1.19881e+07, -541179, -2.60636e+06
7.75, -1.23555e+07, -572348, -2.81692e+06
7.76, -1.2713e+07, -593517, -3.01749e+06
7.77, -1.30604e+07, -604686, -3.20806e+06
7.78, -1.33978e+07, -605855, -3.38862e+06
7.79, -1.37253e+07, -597025, -3.55919e+06
7.8, -1.40427e+07, -578194, -3.71976e+06
7.81, -1.43501e+07, -549363, -3.87032e+06
7.82, -1.46475e+07, -510532, -4.01089e+06
7.83, -1.4935e+07, -461701, -4.14146e+06
7.84, -1.52124e+07, -402871, -4.26202e+06
7.85, -1.54798e+07, -334040, -4.37259e+06
7.86, -1.57372e+07, -255209, -4.47316e+06
7.87, -1.59847e+07, -166378, -4.56372e+06
7.88, -1.62221e+07, -67547.5, -4.64429e+06
7.89, -1.64495e+07, 39877.3, -4.71486e+06
7.9, -1.66669e+07, 141208, -4.77542e+06
7.91, -1.68744e+07, 232539, -4.82599e+06
7.92, -1.70718e+07, 313870, -4.86656e+06
7.93, -1.72592e+07, 385201, -4.89712e+06
7.94, -1.74367e+07, 446531, -4.91769e+06
7.95, -1.76041e+07, 497862, -4.92826e+06
7.96, -1.77615e+07, 539193, -4.92882e+06
7.97, -1.79089e+07, 570524, -4.91939e+06
7.98, -1.80464e+07, 591855, -4.89996e+06
7.99, -1.81738e+07, 603185, -4.87052e+06
8, -1.82912e+07, 604516, -4.83109e+06
8.01, -1.83986e+07, 595847, -4.78166e+06
8.02, -1.84961e+07, 577178, -4.72222e+06
8.03, -1.85835e+07, 548509, -4.65279e+06
8.04, -1.86609e+07, 509839, -4.57336e+06
8.05, -1.87283e+07, 461170, -4.48392e+06
8.06, -1.87858e+07, 402501, -4.38449e+06
8.07, -1.88332e+07, 333832, -4.27506e+06
8.08, -1.88706e+07, 255163, -4.15562e+06
8.09, -1.88981e+07, 166493, -4.02619e+06
8.1, -1.89155e+07, 67824.2, -3.88676e+06
8.11, -1.89229e+07, -39439, -3.73732e+06
8.12, -1.89203e+07, -140608, -3.57789e+06
8.13, -1.89078e+07, -231777, -3.40846e+06
8.14, -1.88852e+07, -312947, -3.22903e+06
8.15, -1.88526e+07, -384116, -3.03959e+06
8.16, -1.881e+07, -445285, -2.84016e+06
8.17, -1.87575e+07, -496454, -2.63073e+06
8.18, -1.86949e+07, -537623, -2.41129e+06
8.19, -1.86223e+07, -568793, -2.18186e+06
8.2, -1.85398e+07, -589962, -1.94243e+06
8.21, -1.84472e+07, -601131, -1.69299e+06
8.22, -1.83446e+07, -602300, -1.43356e+06
8.23, -1.8232e+07, -593469, -1.16413e+06
8.24, -1.81095e+07, -574639, -884692
8.25, -1.79769e+07, -545808, -595259
8.26, -1.78343e+07, -506977, -295825
8.27, -1.76817e+07, -458146, 13578.1
8.28, -1.75192e+07, -399315, 321911
8.29, -1.73466e+07, -330485, 620245
8.3, -1.7164e+07, -251654, 908578
8.31, -1.69714e+07, -162823, 1.18691e+06
8.32, -1.67689e+07, -63992.2, 1.45524e+06
8.33, -1.65563e+07, 43116.6, 1.71358e+06
8.34, -1.63337e+07, 143647, 1.96191e+06
8.35, -1.61012e+07, 234178, 2.20024e+06
8.36, -1.58586e+07, 314709, 2.42858e+06
8.37, -1.5606e+07, 385240, 2.64691e+06
8.38, -1.53434e+07, 445771, 2.85524e+06
8.39, -1.50709e+07, 496301, 3.05358e+06
8.4, -1.47883e+07, 536832, 3.24191e+06
8.41, -1.44957e+07, 567363, 3.42024e+06
8.42, -1.41931e+07, 587894, 3.58858e+06
8.43, -1.38806e+07, 598425, 3.74691e+06
8.44, -1.3558e+07, 598955, 3.89524e+06
8.45, -1.32254e+07, 589486, 4.03358e+06
8.46, -1.28828e+07, 570017, 4.16191e+06
8.47, -1.25303e+07, 540548, 4.28024e+06
8.48, -1.21677e+07, 501079, 4.38858e+06
8.49, -1.17951e+07, 451609, 4.48691e+06
8.5, -1.14126e+07, 392140, 4.57524e+06
8.51, -1.102e+07, 322671, 4.65358e+06
8.52, -1.06174e+07, 243202, 4.72191e+06
8.53, -1.02048e+07, 153733, 4.78024e+06
8.54, -9.78226e+06, 54263.5, 4.82858e+06
8.55, -9.34969e+06, -52655.7, 4.86691e+06
8.56, -8.90711e+06, -152025, 4.89524e+06
8.57, -8.45454e+06, -241394, 4.91358e+06
8.58, -7.99197e+06, -320763, 4.92191e+06
8.59, -7.51939e+06, -390133, 4.92024e+06
8.6, -7.03682e+06, -449502, 4.90858e+06
8.61, -6.54425e+06, -498871, 4.88691e+06
8.62, -6.04167e+06, -538240, 4.85524e+06
8.63, -5.5291e+06, -567609, 4.81358e+06
8.64, -5.00653e+06, -586978, 4.76191e+06
8.65, -4.47395e+06, -596348, 4.70024e+06
8.66, -3.93138e+06, -595717, 4.62858e+06
8.67, -3.37881e+06, -585086, 4.54691e+06
8.68, -2.81623e+06, -564455, 4.45524e+06
8.69, -2.24366e+06, -533824, 4.35358e+06
8.7, -1.66109e+06, -493194, 4.24191e+06
8.71, -1.06851e+06, -442563, 4.12024e+06
8.72, -465942, -381932, 3.98858e+06
8.73, 146032, -311301, 3.84691e+06
8.74, 753705, -230670, 3.69524e+06
8.75, 1.35138e+06, -140040, 3.53358e+06
8.76, 1.93905e+06, -39408.9, 3.36191e+06
8.77, 2.51672e+06, 67061.9, 3.18024e+06
8.78, 3.0844e+06, 164793, 2.98858e+06
8.79, 3.64207e+06, 252524, 2.78691e+06
8.8, 4.18974e+06, 330254, 2.57524e+06
8.81, 4.72742e+06, 397985, 2.35358e+06
8.82, 5.25509e+06, 455716, 2.12191e+06
8.83, 5.77276e+06, 503447, 1.88024e+06
8.84, 6.28044e+06, 541178, 1.62858e+06
8.85, 6.77811e+06, 568908, 1.36691e+06
8.86, 7.26578e+06, 586639, 1.09524e+06
8.87, 7.74346e+06, 594370, 813577
8.88, 8.21113e+06, 592101, 521910
8.89, 8.6688e+06, 579832, 220244
8.9, 9.11648e+06, 557562, -90493
8.91, 9.55415e+06, 525293, -396060
8.92, 9.98182e+06, 483024, -691626
8.93, 1.03995e+07, 430755, -977193
8.94, 1.08072e+07, 368486, -1.25276e+06
8.95, 1.12048e+07, 296216, -1.51833e+06
8.96, 1.15925e+07, 213947, -1.77389e+06
8.97, 1.19702e+07, 121678, -2.01946e+06
8.98, 1.23379e+07, 19408.8, -2.25503e+06
8.99, 1.26955e+07, -85888.4, -2.48059e+06
9, 1.30432e+07, -181458, -2.69616e+06
9.01, 1.33809e+07, -267027, -2.90173e+06
9.02, 1.37086e+07, -342596, -3.09729e+06
9.03, 1.40262e+07, -408165, -3.28286e+06
9.04, 1.43339e+07, -463734, -3.45843e+06
9.05, 1.46316e+07, -509304, -3.62399e+06
9.06, 1.49192e+07, -544873, -3.77956e+06
9.07, 1.51969e+07, -570442, -3.92513e+06
9.08, 1.54646e+07, -586011, -4.06069e+06
9.09, 1.57223e+07, -591580, -4.18626e+06
9.1, 1.59699e+07, -587150, -4.30183e+06
9.11, 1.62076e+07, -572719, -4.40739e+06
9.12, 1.64353e+07, -548288, -4.50296e+06
9.13, 1.6653e+07, -513857, -4.58853e+06
9.14, 1.68606e+07, -469426, -4.66409e+06
9.15, 1.70583e+07, -414996, -4.72966e+06
9.16, 1.7246e+07, -350565, -4.78523e+06
9.17, 1.74237e+07, -276134, -4.83079e+06
9.18, 1.75913e+07, -191703, -4.86636e+06
9.19, 1.7749e+07, -97272.4, -4.89193e+06
9.2, 1.78967e+07, 7102.43, -4.90749e+06
9.21, 1.80343e+07, 110033, -4.91306e+06
9.22, 1.8162e+07, 202964, -4.90863e+06
9.23, 1.82797e+07, 285895, -4.89419e+06
9.24, 1.83874e+07, 358826, -4.86976e+06
9.25, 1.8485e+07, 421756, -4.83533e+06
9.26, 1.85727e+07, 474687, -4.79089e+06
9.27, 1.86504e+07, 517618, -4.73646e+06
9.28, 1.87181e+07, 550549, -4.67203e+06
9.29, 1.87757e+07, 573480, -4.59759e+06
9.3, 1.88234e+07, 586410, -4.51316e+06
9.31, 1.88611e+07, 589341, -4.41873e+06
9.32, 1.88888e+07, 582272, -4.31429e+06
9.33, 1.89064e+07, 565203, -4.19986e+06
9.34, 1.89141e+07, 538134, -4.07543e+06
9.35, 1.89118e+07, 501064, -3.94099e+06
9.36, 1.88994e+07, 453995, -3.79656e+06
9.37, 1.88771e+07, 396926, -3.64213e+06
9.38, 1.88448e+07, 329857, -3.47769e+06
9.39, 1.88025e+07, 252788, -3.30326e+06
9.4, 1.87501e+07, 165718, -3.11883e+06
9.41, 1.86878e+07, 68649.3, -2.92439e+06
9.42, 1.86155e+07, -37159.9, -2.71996e+06
9.43, 1.85332e+07, -137129, -2.50553e+06
9.44, 1.84408e+07, -227098, -2.28109e+06
9.45, 1.83385e+07, -307068, -2.04666e+06
9.46, 1.82262e+07, -377037, -1.80223e+06
9.47, 1.81039e+07, -437006, -1.54779e+06
9.48, 1.79715e+07, -486975, -1.28336e+06
9.49, 1.78292e+07, -526944, -1.00893e+06
9.5, 1.76769e+07, -556914, -724494
9.51, 1.75145e+07, -576883, -430061
9.52, 1.73422e+07, -586852, -125627
9.53, 1.71599e+07, -586821, 185146
9.54, 1.69676e+07, -576790, 487479
9.55, 1.67652e+07, -556759, 779813
9.56, 1.65529e+07, -526729, 1.06215e+06
9.57, 1.63306e+07, -486698, 1.33448e+06
9.58, 1.60983e+07, -436667, 1.59681e+06
9.59, 1.58559e+07, -376636, 1.84915e+06
9.6, 1.56036e+07, -306605, 2.09148e+06
9.61, 1.53413e+07, -226575, 2.32381e+06
9.62, 1.50689e+07, -136544, 2.54615e+06
9.63, 1.47866e+07, -36513.1, 2.75848e+06
9.64, 1.44943e+07, 69095.7, 2.96081e+06
9.65, 1.4192e+07, 165827, 3.15315e+06
9.66, 1.38796e+07, 252557, 3.33548e+06
9.67, 1.35573e+07, 329288, 3.50781e+06
9.68, 1.3225e+07, 396019, 3.67015e+06
9.69, 1.28827e+07, 452750, 3.82248e+06
9.7, 1.25303e+07, 499481, 3.96481e+06
9.71, 1.2168e+07, 536211, 4.09715e+06
9.72, 1.17957e+07, 562942, 4.21948e+06
9.73, 1.14134e+07, 579673, 4.33181e+06
9.74, 1.1021e+07, 586404, 4.43415e+06
9.75, 1.06187e+07, 583135, 4.52648e+06
9.76, 1.02064e+07, 569865, 4.60881e+06
9.77, 9.78405e+06, 546596, 4.68115e+06
9.78, 9.35172e+06, 513327, 4.74348e+06
9.79, 8.90939e+06, 470058, 4.79581e+06
9.8, 8.45707e+06, 416789, 4.83815e+06
9.81, 7.99474e+06, 353519, 4.87048e+06
9.82, 7.52241e+06, 280250, 4.89281e+06
9.83, 7.04009e+06, 196981, 4.90515e+06
9.84, 6.54776e+06, 103712, 4.90748e+06
9.85, 6.04543e+06, 442.57, 4.89981e+06
9.86, 5.53311e+06, -102727, 4.88215e+06
9.87, 5.01078e+06, -195896, 4.85448e+06
9.88, 4.47845e+06, -279065, 4.81681e+06
9.89, 3.93613e+06, -352234, 4.76915e+06
9.9, 3.3838e+06, -415403, 4.71148e+06
9.91, 2.82147e+06, -468573, 4.64381e+06
9.92, 2.24915e+06, -511742, 4.56615e+06
9.93, 1.66682e+06, -544911, 4.47848e+06
9.94, 1.07449e+06, -568080, 4.38081e+06
9.95, 472167, -581249, 4.27315e+06
9.96, -139608, -584419, 4.15548e+06
9.97, -747235, -577588, 4.02781e+06
9.98, -1.34486e+06, -560757, 3.89015e+06
9.99, -1.93249e+06, -533926, 3.74248e+06
Number:1, mass:1, radius:0.001
time,x,y,z
0, 0.637783, 0.296979, 0.450393
0.01, 0.638696, 0.296945, 0.450223
0.02, 0.63961, 0.296912, 0.450054
0.03, 0.640523, 0.296879, 0.449884
0.04, 0.641437, 0.296845, 0.449714
0.05, 0.64235, 0.296812, 0.449544
0.06, 0.643264, 0.296779, 0.449374
0.07, 0.644177, 0.296745, 0.449204
0.08, 0.64509, 0.296712, 0.449033
0.09, 0.646004, 0.296678, 0.448863
0.1, 0.646917, 0.296645, 0.448693
0.11, 0.64783, 0.296611, 0.448522
0.12, 0.648743, 0.296578, 0.448351
0.13, 0.649656, 0.296544, 0.448181
0.14, 0.650569, 0.296511, 0.44801
0.15, 0.651482, 0.296477, 0.447839
0.16, 0.652395, 0.296444, 0.447668
0.17, 0.653308, 0.29641, 0.447497
0.18, 0.654221, 0.296376, 0.447325
0.19, 0.655134, 0.296343, 0.447154
0.2, 0.656047, 0.296309, 0.446983
0.21, 0.65696, 0.296276, 0.446811
0.22, 0.657873, 0.296242, 0.44664
0.23, 0.658785, 0.296209, 0.446468
0.24, 0.659698, 0.296175, 0.446297
0.25, 0.660611, 0.296142, 0.446125
0.26, 0.661524, 0.296109, 0.445954
0.27, 0.662437, 0.296075, 0.445782
0.28, 0.663349, 0.296042, 0.44561
0.29, 0.664262, 0.296009, 0.445439
0.3, 0.665175, 0.295975, 0.445267
0.31, 0.666088, 0.295942, 0.445095
0.32, 0.667001, 0.295909, 0.444924
0.33, 0.667913, 0.295876, 0.444752
0.34, 0.668826, 0.295843, 0.44458
0.35, 0.669739, 0.29581, 0.444408
0.36, 0.670652, 0.295777, 0.444237
0.37, 0.671564, 0.295744, 0.444065
0.38, 0.672477, 0.295711, 0.443893
0.39, 0.67339, 0.295678, 0.443721
0.4, 0.674303, 0.295645, 0.443549
0.41, 0.675215, 0.295613, 0.443377
0.42, 0.676128, 0.29558, 0.443205
0.43, 0.677041, 0.295547, 0.443033
0.44, 0.677954, 0.295514, 0.442861
0.45, 0.678866, 0.295482, 0.442689
0.46, 0.679779, 0.295449, 0.442517
0.47, 0.680692, 0.295417, 0.442345
0.48, 0.681604, 0.295384, 0.442173
0.49, 0.682517, 0.295352, 0.442
0.5, 0.68343, 0.295319, 0.441828
0.51, 0.684343, 0.295287, 0.441656
0.52, 0.685255, 0.295254, 0.441484
0.53, 0.686168, 0.295222, 0.441312
0.54, 0.687081, 0.29519, 0.441139
0.55, 0.687993, 0.295158, 0.440967
0.56, 0.688906, 0.295125, 0.440795
0.57, 0.689819, 0.295093, 0.440622
0.58, 0.690731, 0.295061, 0.44045
0.59, 0.691644, 0.295029, 0.440278
0.6, 0.692557, 0.294997, 0.440105
0.61, 0.693469, 0.294965, 0.439933
0.62, 0.694382, 0.294933, 0.43976
0.63, 0.695295, 0.294901, 0.439588
0.64, 0.696207, 0.294869, 0.439415
0.65, 0.69712, 0.294837, 0.439243
0.66, 0.698032, 0.294805, 0.43907
0.67, 0.698945, 0.294773, 0.438898
0.68, 0.699858, 0.294742, 0.438725
0.69, 0.70077, 0.29471, 0.438552
0.7, 0.701683, 0.294678, 0.43838
0.71, 0.702595, 0.294647, 0.438207
0.72, 0.703508, 0.294615, 0.438034
0.73, 0.704421, 0.294583, 0.437862
0.74, 0.705333, 0.294552, 0.437689
0.75, 0.706246, 0.29452, 0.437516
0.76, 0.707158, 0.294489, 0.437344
0.77, 0.708071, 0.294457, 0.437171
0.78, 0.708983, 0.294426, 0.436998
0.79, 0.709896, 0.294394, 0.436825
0.8, 0.710808, 0.294363, 0.436652
0.81, 0.711721, 0.294332, 0.436479
0.82, 0.712634, 0.2943, 0.436307
0.83, 0.713546, 0.294269, 0.436134
0.84, 0.714459, 0.294238, 0.435961
0.85, 0.715371, 0.294207, 0.435788
0.86, 0.716284, 0.294175, 0.435615
0.87, 0.717196, 0.294144, 0.435442
0.88, 0.718109, 0.294113, 0.435269
0.89, 0.719021, 0.294082, 0.435096
0.9, 0.719933, 0.294051, 0.434923
0.91, 0.720846, 0.29402, 0.43475
0.92, 0.721758, 0.293989, 0.434577
0.93, 0.722671, 0.293958, 0.434404
0.94, 0.723583, 0.293927, 0.434231
0.95, 0.724496, 0.293896, 0.434058
0.96, 0.725408, 0.293866, 0.433885
0.97, 0.726321, 0.293835, 0.433711
0.98, 0.727233, 0.293804, 0.433538
0.99, 0.728145, 0.293773, 0.433365
1, 0.729058, 0.293742, 0.433192
1.01, 0.72997, 0.293712, 0.433019
1.02, 0.730883, 0.293681, 0.432845
1.03, 0.731795, 0.29365, 0.432672
1.04, 0.732707, 0.29362, 0.432499
1.05, 0.73362, 0.293589, 0.432326
1.06, 0.734532, 0.293559, 0.432152
1.07, 0.735444, 0.293528, 0.431979
1.08, 0.736357, 0.293498, 0.431806
1.09, 0.737269, 0.293467, 0.431633
1.1, 0.738181, 0.293437, 0.431459
1.11, 0.739094, 0.293406, 0.431286
1.12, 0.740006, 0.293376, 0.431112
1.13, 0.740918, 0.293345, 0.430939
1.14, 0.741831, 0.293315, 0.430766
1.15, 0.742743, 0.293285, 0.430592
1.16, 0.743655, 0.293254, 0.430419
1.17, 0.744567, 0.293224, 0.430245
1.18, 0.74548, 0.293194, 0.430072
1.19, 0.746392, 0.293164, 0.429899
1.2, 0.747304, 0.293134, 0.429725
1.21, 0.748217, 0.293103, 0.429552
1.22, 0.749128, 0.293083, 0.429388
1.23, 0.750023, 0.293016, 0.429253
1.24, 0.737057, 0.532046, 0.208058
1.25, 0.707416, 0.0637055, 0.719734
