Number:0, mass:1, radius:0.001
time,x,y,z
1.43, 5.10192e+06, -634201, -2.42196e+06
1.44, 5.62359e+06, -655570, -2.64353e+06
1.45, 6.13526e+06, -666939, -2.8551e+06
1.46, 6.63694e+06, -668308, -3.05666e+06
1.47, 7.12861e+06, -659678, -3.24823e+06
1.48, 7.61028e+06, -641047, -3.4298e+06
1.49, 8.08196e+06, -612416, -3.60136e+06
1.5, 8.54363e+06, -573785, -3.76293e+06
1.51, 8.9953e+06, -525154, -3.9145e+06
1.52, 9.43698e+06, -466524, -4.05606e+06
1.53, 9.86865e+06, -397893, -4.18763e+06
1.54, 1.02903e+07, -319262, -4.3092e+06
1.55, 1.0702e+07, -230631, -4.42076e+06
1.56, 1.11037e+07, -132000, -4.52233e+06
1.57, 1.14953e+07, -23369.7, -4.6139e+06
1.58, 1.1877e+07, 88781.1, -4.69546e+06
1.59, 1.22487e+07, 191312, -4.76703e+06
1.6, 1.26104e+07, 283843, -4.8286e+06
1.61, 1.2962e+07, 366374, -4.88016e+06
1.62, 1.33037e+07, 438904, -4.92173e+06
1.63, 1.36354e+07, 501435, -4.9533e+06
1.64, 1.39571e+07, 553966, -4.97486e+06
1.65, 1.42687e+07, 596497, -4.98643e+06
1.66, 1.45704e+07, 629028, -4.988e+06
1.67, 1.48621e+07, 651558, -4.97956e+06
1.68, 1.51437e+07, 664089, -4.96113e+06
1.69, 1.54154e+07, 666620, -4.9327e+06
1.7, 1.56771e+07, 659151, -4.89426e+06
1.71, 1.59288e+07, 641682, -4.84583e+06
1.72, 1.61704e+07, 614212, -4.7874e+06
1.73, 1.64021e+07, 576743, -4.71896e+06
1.74, 1.66238e+07, 529274, -4.64053e+06
1.75, 1.68355e+07, 471805, -4.5521e+06
1.76, 1.70371e+07, 404336, -4.45366e+06
1.77, 1.72288e+07, 326866, -4.34523e+06
1.78, 1.74105e+07, 239397, -4.2268e+06
1.79, 1.75822e+07, 141928, -4.09837e+06
1.8, 1.77438e+07, 34458.8, -3.95993e+06
1.81, 1.78955e+07, -78040.4, -3.8115e+06
1.82, 1.80372e+07, -181410, -3.65307e+06
1.83, 1.81688e+07, -274779, -3.48463e+06
1.84, 1.82905e+07, -358148, -3.3062e+06
1.85, 1.84022e+07, -431517, -3.11777e+06
1.86, 1.85039e+07, -494886, -2.91933e+06
1.87, 1.85955e+07, -548256, -2.7109e+06
1.88, 1.86772e+07, -591625, -2.49247e+06
1.89, 1.87489e+07, -624994, -2.26403e+06
1.9, 1.88106e+07, -648363, -2.0256e+06
1.91, 1.88622e+07, -661732, -1.77717e+06
1.92, 1.89039e+07, -665102, -1.51873e+06
1.93, 1.89356e+07, -658471, -1.2503e+06
1.94, 1.89573e+07, -641840, -971865
1.95, 1.89689e+07, -615209, -683432
1.96, 1.89706e+07, -578578, -384999
1.97, 1.89623e+07, -531948, -76565.3
1.98, 1.89439e+07, -475317, 236016
1.99, 1.89156e+07, -408686, 539149
2, 1.88773e+07, -332055, 832283
2.01, 1.8829e+07, -245424, 1.11542e+06
2.02, 1.87706e+07, -148794, 1.38855e+06
2.03, 1.87023e+07, -42162.8, 1.65168e+06
2.04, 1.8624e+07, 70436, 1.90482e+06
2.05, 1.85357e+07, 174367, 2.14795e+06
2.06, 1.84373e+07, 268298, 2.38108e+06
2.07, 1.8329e+07, 352228, 2.60422e+06
2.08, 1.82107e+07, 426159, 2.81735e+06
2.09, 1.80824e+07, 490090, 3.02048e+06
2.1, 1.7944e+07, 544021, 3.21362e+06
2.11, 1.77957e+07, 587952, 3.39675e+06
2.12, 1.76374e+07, 621882, 3.56988e+06
2.13, 1.7469e+07, 645813, 3.73302e+06
2.14, 1.72907e+07, 659744, 3.88615e+06
2.15, 1.71024e+07, 663675, 4.02928e+06
2.16, 1.69041e+07, 657606, 4.16242e+06
2.17, 1.66957e+07, 641536, 4.28555e+06
2.18, 1.64774e+07, 615467, 4.39868e+06
2.19, 1.62491e+07, 579398, 4.50182e+06
2.2, 1.60108e+07, 533329, 4.59495e+06
2.21, 1.57624e+07, 477260, 4.67808e+06
2.22, 1.55041e+07, 411190, 4.75122e+06
2.23, 1.52358e+07, 335121, 4.81435e+06
2.24, 1.49574e+07, 249052, 4.86748e+06
2.25, 1.46691e+07, 152983, 4.91062e+06
2.26, 1.43708e+07, 46913.7, 4.94375e+06
2.27, 1.40625e+07, -65615.5, 4.96688e+06
2.28, 1.37441e+07, -169785, 4.98002e+06
2.29, 1.34158e+07, -263954, 4.98315e+06
2.3, 1.30775e+07, -348123, 4.97628e+06
2.31, 1.27292e+07, -422292, 4.95942e+06
2.32, 1.23708e+07, -486461, 4.93255e+06
2.33, 1.20025e+07, -540631, 4.89568e+06
2.34, 1.16242e+07, -584800, 4.84882e+06
2.35, 1.12359e+07, -618969, 4.79195e+06
2.36, 1.08375e+07, -643138, 4.72508e+06
2.37, 1.04292e+07, -657307, 4.64822e+06
2.38, 1.00109e+07, -661477, 4.56135e+06
2.39, 9.58255e+06, -655646, 4.46448e+06
2.4, 9.14422e+06, -639815, 4.35762e+06
2.41, 8.69589e+06, -613984, 4.24075e+06
2.42, 8.23757e+06, -578153, 4.11388e+06
2.43, 7.76924e+06, -532323, 3.97702e+06
2.44, 7.29091e+06, -476492, 3.83015e+06
2.45, 6.80259e+06, -410661, 3.67328e+06
2.46, 6.30426e+06, -334830, 3.50642e+06
2.47, 5.79593e+06, -248999, 3.32955e+06
2.48, 5.27761e+06, -153169, 3.14268e+06
2.49, 4.74928e+06, -47337.9, 2.94582e+06
2.5, 4.21095e+06, 64953, 2.73895e+06
2.51, 3.66263e+06, 168884, 2.52208e+06
2.52, 3.1043e+06, 262815, 2.29522e+06
2.53, 2.53597e+06, 346745, 2.05835e+06
2.54, 1.95765e+06, 420676, 1.81148e+06
2.55, 1.36932e+06, 484607, 1.55462e+06
2.56, 770993, 538538, 1.28775e+06
2.57, 162666, 582469, 1.01088e+06
2.58, -450110, 616399, 724015
2.59, -1.05354e+06, 640330, 427148
