dp,u
4.0,-0.105
3.8,-0.097
3.6,-0.090
3.4,-0.082
3.2,-0.075
3.0,-0.066
2.8,-0.058
2.6,-0.052
2.4,-0.047
2.2,-0.040
2.0,-0.034
1.8,-0.028
1.6,-0.020
