lnV;t
2.49284175010732;0
2.4909135720514;1.049
2.48932188826141;2.056
2.48763625435887;3.056
2.48595609892357;4.056
2.4841480287745;5.056
2.48235339300028;6.056
2.48057226992045;7.057
2.47877119968192;8.056
2.47695008007154;9.057
2.4751172226558;10.056
2.47332315271125;11.057
2.4714667374213;12.056
2.46967456164658;13.056
2.46782830825325;14.056
2.46602959401831;15.056
2.46429569588388;16.056
2.46244799838051;17.057
2.46063103357589;18.057
2.45876799217831;19.057
2.45690147337792;20.056
2.45516883152404;21.056
2.45329557641128;22.056
2.4514618903186;23.056
2.44971978969862;24.056
2.44783628963427;25.057
2.44597522811924;26.056
2.44422353451247;27.056
2.44239051268492;28.057
2.44067607487459;29.056
2.43882780666347;30.056
2.43705479526835;31.057
2.43521733150064;32.056
2.43335893707394;33.057
2.43160256318231;34.057
2.42981668347004;35.057
2.42801878758095;36.057
2.42627067430304;37.056
2.42440441631514;38.057
2.42259675452901;39.057
2.42075916329753;40.057
2.41904280635425;41.056
2.41720758383074;42.056
2.4154851150095;43.056
2.41355385300942;44.057
2.41179817796736;45.056
2.41009330070933;46.056
2.40827755355207;47.056
2.40646751681214;48.056
2.40537631083119;49.056
2.40262045515632;50.057
2.40099954047897;51.056
2.3991308727666;52.056
2.39731328529467;53.057
2.39548327536078;54.056
2.39371381540513;55.057
2.39190463744779;56.057
2.39005553126559;57.056
2.38823971667668;58.056
2.38649416280115;59.056
2.38467186399216;60.057
2.38292929367554;61.057
2.38115594879407;62.057
2.3793609317961;63.056
2.37747918464628;64.057
2.37569613981137;65.056
2.37393784443929;66.057
2.37216712422564;67.056
2.37029046934806;68.057
2.36859752738762;69.056
2.36675166996896;70.056
2.36496816782534;71.056
2.36323794970599;72.057
2.36139159243897;73.056
2.35955126613471;74.056
2.35775486412752;75.055
2.35605950700987;76.056
2.35422832614588;77.055
2.3524318416386;78.055
2.35066071622561;79.055
2.34887690077333;80.055
2.34708989763638;81.056
2.34526136727448;82.055
2.34344868664904;83.056
2.34169041487463;84.055
2.3399097790542;85.055
2.33810666506112;86.056
2.33631963072367;87.055
2.33449065400503;88.056
2.3327456558889;89.055
2.33096844738582;90.055
2.32917833726357;91.055
2.32737526180126;92.056
2.32559824730305;93.055
2.32374953769388;94.055
2.32202490938427;95.055
2.3202088777476;96.055
2.3185273374148;97.055
2.31673451609847;98.055
2.31492859752528;99.056
2.31325793505035;100.056
2.31148536778077;101.055
2.30966000666601;102.055
2.30795067249246;103.056
2.30614873566998;104.056
2.30437349285326;105.055
2.30260509279405;106.055
2.30092371366738;107.057
2.29911909335087;108.057
2.29729110453294;109.056
2.2956007592196;110.057
2.29385711476342;111.057
2.2920801083489;112.056
2.2903505553257;113.057
2.28857744233944;114.056
2.28692308150438;115.057
2.2851438753741;116.056
2.28340227357727;117.056
2.28164742177917;118.057
2.27982810587143;119.056
2.27815919483222;120.056
2.27640537521066;121.057
2.27458677256718;122.057
2.27279576418329;123.056
2.27096025797583;124.057
2.2692247741358;125.057
2.26732054389373;126.057
2.26554759489148;127.056
2.26371951677218;128.057
2.26197141010875;129.056
2.26019937649761;130.057
2.25848690427225;131.056
2.25668774060701;132.057
2.25483288995653;133.056
2.25300611779498;134.057
2.2513760055873;135.056
2.24947963130694;136.057
2.24776981422073;137.057
2.24597241256747;138.056
2.24411876538413;139.057
2.24235726744356;140.056
2.24061394001129;141.057
2.23880361855763;142.057
2.23709678762086;143.056
2.2353763433006;144.057
2.23344935415918;145.056
2.23167967947827;146.057
2.22986385119288;147.057
2.2282494026068;148.056
2.22636257907954;149.057
2.22464517291221;150.057
2.22292481218603;151.057
