lnV;t
2.7228337177616;0
2.72219633770053;1.049
2.72158485964702;2.061
2.72090061308103;3.062
2.72021589800108;4.062
2.71949776038428;5.062
2.71869995726746;6.061
2.71804673550844;7.061
2.71728080106403;8.062
2.7165936020995;9.062
2.7158067081408;10.062
2.71493974691775;11.062
2.71417142810715;12.061
2.71338262509133;13.061
2.71265956165911;14.062
2.71184964074809;15.062
2.71105900344663;16.061
2.71023448049281;17.061
2.70946253662004;18.062
2.70866334642353;19.062
2.70786351701115;20.061
2.70708974000709;21.061
2.70631536380849;22.061
2.70550028616397;23.061
2.70470461085111;24.061
2.70390160757588;25.061
2.7031046587092;26.061
2.70230707420842;27.062
2.70151556345487;28.061
2.70068984669592;29.062
2.69989705434582;30.061
2.69913053892756;31.062
2.6983701670489;32.061
2.69754858498591;33.062
2.69672632737077;34.061
2.69588314846909;35.061
2.69517432835482;36.062
2.69437039104565;37.061
2.69359962598941;38.061
2.69271318809197;39.061
2.69191404408162;40.061
2.69105323425726;41.062
2.69022561618966;42.062
2.68944485677664;43.062
2.68870426950467;44.062
2.68769101895811;45.062
2.68690146821228;46.061
2.686104479018;47.062
2.68526593313007;48.061
2.6843857264635;49.061
2.68362088717904;50.061
2.68273239311792;51.061
2.68199365878243;52.062
2.68126807366205;53.061
2.68035007045993;54.061
2.67945866424197;55.061
2.67864198752162;56.062
2.67773531309985;57.061
2.67698599964899;58.062
2.67619483043167;59.061
2.67538237083782;60.062
2.67465197101483;61.062
2.67381066128049;62.062
2.67300316602464;63.062
2.6721811980213;64.061
2.67137930107738;65.062
2.67065981188365;66.062
2.66981513537221;67.062
2.66903213408148;68.061
2.66832482729583;69.061
2.66758925250814;70.061
2.66661690866634;71.061
2.66605390625002;72.061
2.6651914115002;73.061
2.66438388756127;74.062
2.66354086111625;75.061
2.6627599052424;76.061
2.661950414619;77.061
2.66118218841543;78.061
2.6604133715866;79.061
2.65967195208408;80.061
2.65889497030406;81.062
2.65794216892608;82.061
2.6571848852942;83.061
