lnV;t
2.78502976058539;0
2.78433199925937;1.048
2.78368938131069;2.098
2.78315767358902;3.144
2.78256999320836;4.144
2.78187051283802;5.144
2.78122011436862;6.144
2.78061269390343;7.144
2.77987461554058;8.144
2.77929121029945;9.144
2.77863291922409;10.144
2.77787472666902;11.144
2.77712218057115;12.144
2.77662431825714;13.144
2.7757773830531;14.145
2.77530378312401;15.144
2.77446820490519;16.145
2.77393157021572;17.144
2.77325100288353;18.145
2.77253247065769;19.145
2.77184469552053;20.144
2.77122529319268;21.144
2.77046772451353;22.144
2.76974718890512;23.144
2.76909512673548;24.145
2.76837987746573;25.144
2.76772064234292;26.144
2.76710496388353;27.144
2.76641973309425;28.144
2.76572773943298;29.144
2.76508564441863;30.144
2.76440532943176;31.144
2.76375607904099;32.144
2.76308116834643;33.145
2.76233003134854;34.145
2.76166679453922;35.145
2.76107898864993;36.145
2.76041492130807;37.144
2.75968710311656;38.145
2.75904111644449;39.144
2.75834399615668;40.144
2.75767176559434;41.144
2.75702447530648;42.144
2.75628147896505;43.144
2.7556269309452;44.145
2.75499739820938;45.145
2.75427835596807;46.145
2.75373077359418;47.145
2.75291521160769;48.144
2.75238601492226;49.144
2.75170976590927;50.144
2.75098835497702;51.144
2.75029198724117;52.145
2.74960152959377;53.144
2.74892339431179;54.144
2.74828962596171;55.145
2.74761700820423;56.144
2.74689905025085;57.145
2.74622549620154;58.145
2.74561569898835;59.144
2.7449734052068;60.144
2.7442278272208;61.144
2.74353316834754;62.144
2.74290241186942;63.145
2.74227769965144;64.144
2.74154300258425;65.145
2.74088518419578;66.145
2.74022693279743;67.144
2.73951656789833;68.144
2.73890912868819;69.144
2.73815901387253;70.145
2.73760900334375;71.144
2.73685791228398;72.144
2.73616459499229;73.144
2.73551620007114;74.144
2.73485440385426;75.145
2.73415320074283;76.145
2.73351649806147;77.144
2.73290540210039;78.144
2.73220283052954;79.144
2.73114804679261;80.144
2.73082227144441;81.145
2.7302095263272;82.145
2.72949200708647;83.144
2.72883274028474;84.144
2.72814036875405;85.144
2.72746713311249;86.144
2.72681961507873;87.145
2.72619786493026;88.144
2.72552331981331;89.144
2.72490731816863;90.144
2.72418598301161;91.144
2.72352320766491;92.144
2.72287312999385;93.145
2.72222920227548;94.145
2.72150593201047;95.144
2.7208216314179;96.144
2.72011710232035;97.144
2.71945821489378;98.144
2.71880548841903;99.145
2.71807313658033;100.144
2.7174855478887;101.145
2.71686457346742;102.144
2.71618370099893;103.144
2.7156346992753;104.145
2.71497947149403;105.144
2.71439006164839;106.145
2.71381356099131;107.144
2.7130841760294;108.145
2.7125467431541;109.144
2.7117898664955;110.144
2.7112185100399;111.144
2.71058698075418;112.144
2.70996836025811;113.145
2.70927611602802;114.144
2.70861004436072;115.144
2.70798353221322;116.144
2.70747670335047;117.145
2.70685615517969;118.144
2.70615507314775;119.144
2.70555375423686;120.144
2.70487850993658;121.145
2.70428980633852;122.145
2.70367397270123;123.144
2.70298405650203;124.144
2.70237412260397;125.145
2.70180406789682;126.145
2.70115313761397;127.144
2.70048834889492;128.144
2.69975589827739;129.145
2.69923815548985;130.144
2.69847113465522;131.144
2.69777088280527;132.144
2.69719145776733;133.145
2.69655100470919;134.144
2.69593713321841;135.144
2.69532963669283;136.145
2.69474203903847;137.144
2.69410677511226;138.144
2.6934846364229;139.145
2.69281472845943;140.144
2.69223242373511;141.144
2.69154134338646;142.145
2.69093795149225;143.144
2.69031383761191;144.144
2.68965538237835;145.145
2.68905085109243;146.144
2.68842555796591;147.144
2.68784749378469;148.144
2.68722144751848;149.144
2.68656776371473;150.145
2.68600907022533;151.145
2.68540914928782;152.144
2.6848020447824;153.144
2.68424236364952;154.145
2.68361405562134;155.144
2.68301269570982;156.144
2.68239045432163;157.144
2.6817336038957;158.144
2.68120644312342;159.145
2.6805899287391;160.144
2.68008958774286;161.144
2.67939692208407;162.144
2.67874496670962;163.145
2.67819562178961;164.144
2.677515389385;165.144
2.67695849122453;166.145
2.67635999570054;167.144
2.67573359962567;168.144
2.67517570802813;169.145
2.67456235694122;170.144
2.67397622076846;171.145
2.67334142715856;172.144
2.67267860392167;173.144
2.67219501819322;174.145
2.67153143440179;175.145
2.67093659976211;176.144
2.67032756527055;177.144
2.66973894093783;178.144
2.66915690101009;179.145
2.66860919702;180.145
2.66795016812721;181.144
2.66733931152068;182.144
2.66675587282771;183.144
2.66608866866629;184.144
2.66562970744046;185.145
2.6649060680596;186.145
2.66433513679953;187.145
2.66377084791045;188.144
2.66314348657158;189.144
2.66256457094108;190.145
2.66193645213619;191.145
2.66134985174785;192.145
2.66076290705752;193.144
2.66016163037524;194.144
2.65949700885271;195.144
2.65897199545281;196.144
2.65834161531273;197.144
2.65773186988007;198.144
2.65715682673599;199.145
2.65653933918891;200.145
2.65602681570166;201.144
2.65544376421856;202.144
2.65484631075823;203.145
2.65426257037249;204.144
2.65367848903487;205.144
2.65306589276945;206.144
2.65255863259752;207.145
2.65193124683692;208.145
2.65134580182911;209.144
2.6507388343891;210.144
2.65011030551434;211.145
2.64962274707716;212.144
2.6489369366097;213.144
2.64835681222043;214.144
2.64776927021728;215.145
2.64723097701865;216.145
2.64663568406734;217.145
2.64591235160072;218.144
2.64535176374938;219.144
2.64480506540319;220.145
2.64421543227288;221.144
2.64361834094282;222.144
2.64308492224985;223.144
2.64245156268327;224.145
2.64183917098981;225.144
2.64127629446222;226.145
2.64069170757739;227.145
2.6400639656443;228.144
2.63952150758228;229.144
2.63890017440988;230.144
2.63831419641731;231.144
2.63773502718718;232.144
2.63716267875446;233.145
2.6365828420231;234.144
2.63590952332453;235.144
2.63539348306194;236.144
2.63483413877095;237.145
2.63433907327229;238.144
2.63380068046944;239.144
2.6331542262482;240.145
2.63259362768677;241.144
2.6319823609433;242.144
2.63136352232529;243.145
2.63079471662189;244.144
2.63015352239373;245.144
2.62954076181615;246.145
2.62899977872851;247.144
2.62840796878327;248.144
2.62778691354716;249.145
2.62727389107492;250.145
2.62660873784826;251.145
2.62610234645478;252.144
2.62543641325511;253.144
2.62494391657675;254.144
2.62431345664624;255.144
2.62375513160681;256.144
2.62310940624981;257.144
2.62251409899562;258.145
2.62191117078029;259.144
2.62136604329782;260.145
2.62081334414843;261.144
2.62027489603018;262.145
2.61974344001021;263.144
2.6191606979008;264.145
2.61857761600501;265.144
2.61807443464856;266.144
2.61750531589169;267.144
2.6170381046234;268.145
2.61641725199021;269.144
2.61583256777611;270.144
2.61530605953725;271.144
2.61469144935635;272.144
2.61417898549214;273.144
2.61361497175041;274.144
2.61307263264327;275.145
2.6124126343793;276.145
2.61186230288242;277.144
2.61143650542343;278.145
2.61083420638579;279.144
2.61030505918233;280.145
2.60970207808443;281.144
2.60915761212586;282.145
2.60862021319729;283.144
2.60802358303504;284.145
2.60744134138831;285.144
2.60688089006285;286.145
2.60634964627587;287.144
2.60583288854992;288.145
2.60530108757866;289.144
2.60464333139033;290.145
2.60413308768244;291.144
2.60357077864922;292.145
2.60299334303945;293.144
2.60244521111853;294.145
2.60176333058425;295.145
2.60134062772694;296.144
2.60068026049425;297.145
2.6001828422332;298.144
2.59958858570489;299.144
2.59900884538258;300.145
2.59855522440115;301.144
2.59793767175005;302.144
2.59737186717576;303.145
2.59676848598816;304.144
2.59627657273385;305.145
2.59569490856138;306.145
2.59510544208608;307.144
2.59452309611132;308.144
2.5939927169525;309.144
2.59352933876783;310.144
2.59279646407155;311.144
2.59228762294621;312.145
2.59168865465116;313.145
2.59123170013265;314.145
2.59063209884953;315.145
2.59007714739354;316.145
2.58952939335892;317.145
2.58901888666995;318.145
2.58839541481303;319.144
2.58789936441617;320.144
2.58736545956638;321.144
2.58679363973423;322.144
2.58620643181565;323.145
2.58564901820032;324.145
2.58513652619679;325.144
2.58458605847386;326.144
2.58399755243223;327.144
2.58344645721092;328.144
2.58288750259255;329.144
2.58232067556164;330.144
2.58173839869145;331.145
2.58123903423582;332.145
2.58067884405932;333.145
2.58012591636893;334.144
2.57963332605391;335.144
2.57905706641784;336.144
2.57850324102558;337.145
2.57794151575519;338.145
2.57737947477217;339.145
2.5768399221318;340.144
2.57630768367641;341.145
2.57571428408807;342.144
2.57528803635557;343.144
2.57472450160712;344.144
2.57408442843405;345.144
2.57353546801403;346.145
2.57306251049511;347.145
2.57252825721582;348.145
2.57197080316271;349.144
2.57144360870361;350.144
2.57083966777973;351.145
2.57039603580341;352.145
2.56989862805273;353.145
2.56930141198059;354.145
2.56875748195794;355.144
2.56824392441097;356.144
2.56770708988115;357.144
2.56719299247523;358.144
2.56663255547325;359.144
2.56614863803702;360.144
2.56559530264018;361.145
2.56509550062826;362.144
2.56458005850984;363.144
2.5640335536258;364.144
2.56354067342422;365.144
2.56297047769294;366.144
2.56242309221583;367.144
2.56187540694374;368.144
2.56140462076073;369.145
2.56080230879126;370.145
2.56033101701816;371.144
2.55978991656126;372.144
2.55915568342066;373.145
2.55865265167648;374.145
2.55812613211341;375.145
2.55763033091953;376.145
2.55711102553692;377.144
2.55656042237992;378.145
2.55605608311185;379.144
2.55547383694502;380.145
2.55497671866724;381.144
2.5545026726759;382.144
2.55388841010211;383.145
2.55347609831077;384.144
2.55275998335929;385.145
2.55252635669363;386.144
2.55182514902953;387.144
2.55141198547715;388.145
2.55077241474769;389.144
2.55029637105193;390.144
2.54971857104835;391.145
2.54921858275641;392.144
2.54872616250095;393.145
2.54821003345724;394.144
2.54758406514209;395.144
2.54709083916022;396.145
2.54652685427887;397.144
