t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
0,17.6903,,,2.87301646676164,0,,8.25422361828356,0,0
1.05,17.6711,,,2.87193053679921,1.05,,8.24798500819981,1.1025,3.01552706363917
2.063,17.6569,,,2.87112664182838,2.063,,8.24336819341672,4.255969,5.92313426209195
3.063,17.6407,,,2.870208732331,3.063,,8.23809816714911,9.381969,8.79144934712984
4.063,17.6243,,,2.86927863159756,4.063,,8.23275986574238,16.507969,11.6578790801809
5.064,17.6075,,,2.86832494763743,5.064,,8.22728800523926,25.644096,14.5251975348359
6.064,17.591,,,2.86738740761677,6.064,,8.22191054535921,36.772096,17.3878372397881
7.063,17.575,,,2.86647743769673,7.063,,8.2166929008244,49.885969,20.245930142452
8.064,17.5559,,,2.86539007575144,8.064,,8.21046028621483,65.028096,23.1065055708596
9.063,17.5395,,,2.86445548026635,9.063,,8.2051051984279,82.137969,25.9605600176539
10.063,17.5217,,,2.86344011276442,10.063,,8.19928927938831,101.263969,28.8147978547484
11.064,17.5035,,,2.86240086093213,11.064,,8.19333868866502,122.412096,31.6696031253531
12.063,17.4862,,,2.86141199841489,12.063,,8.18767862467272,145.515969,34.5172129368789
13.063,17.4684,,,2.86039353437648,13.063,,8.18185117150276,170.641969,37.3653207395599
14.063,17.45,,,2.85933964864844,14.063,,8.17582322633296,197.767969,40.210893478943
15.064,17.4319,,,2.85830186104945,15.064,,8.16988952887877,226.924096,43.057459234849
16.064,17.4148,,,2.85732041939945,16.064,,8.16427997911704,258.052096,45.8999952172328
17.063,17.3959,,,2.85623454627095,17.063,,8.15807578331162,291.145969,48.7359300630212
18.063,17.3782,,,2.85521654715502,18.063,,8.15226153114785,326.271969,51.5737764912612
19.063,17.3597,,,2.85415142797689,19.063,,8.14618037382254,363.397969,54.4086886715235
20.064,17.3413,,,2.85309093970714,20.064,,8.14012791023894,402.564096,57.244416614284
21.063,17.3537,,,2.85380574014109,21.063,,8.14420720246222,443.649969,60.1097103045917
22.063,17.2814,,,2.84963077861261,22.063,,8.12039557441628,486.775969,62.8714038685299
23.063,17.2611,,,2.84845541479487,23.063,,8.11369825007423,531.901969,65.6939272314142
24.063,17.2414,,,2.847313468435,24.063,,8.10719398753134,579.027969,68.5149039909513
25.063,17.2235,,,2.84627473037921,25.063,,8.10127984079524,628.153969,71.3361835674941
26.064,17.2047,,,2.84518260230579,26.064,,8.09506404046355,679.332096,74.1568393464981
27.063,17.1866,,,2.8441300104194,27.063,,8.08907551616828,732.405969,76.9706904719803
28.063,17.1696,,,2.84314037819073,28.063,,8.0834472100985,787.531969,79.7870484331663
29.063,17.1507,,,2.84203898910552,29.063,,8.0771856155959,844.657969,82.5981791403736
30.064,17.1325,,,2.84097724447784,30.064,,8.07115170364091,903.844096,85.4111398779818
31.063,17.1146,,,2.83993190039732,31.063,,8.06521319889434,964.909969,88.216804622042
32.064,17.0967,,,2.83888546242896,32.064,,8.05927066879051,1028.100096,91.0260234673223
33.064,17.0788,,,2.837837928281,33.064,,8.0533241071902,1093.228096,93.830273260683
34.063,17.0604,,,2.83675998844752,34.063,,8.04720723205675,1160.287969,96.6285554864877
35.064,17.0418,,,2.83566914962513,35.064,,8.0410195261357,1229.484096,99.4299030624555
36.063,17.0257,,,2.83472396719621,36.063,,8.03565997019662,1300.539969,102.228650428997
37.064,17.0074,,,2.83364854346086,37.064,,8.02956406785787,1373.740096,105.026349614833
38.063,16.9889,,,2.83256018962082,38.063,,8.02339722782474,1448.791969,107.815738497537
39.063,16.9708,,,2.83149422015031,39.063,,8.01735951874459,1525.917969,110.606658721731
40.063,16.953,,,2.83044480931582,40.063,,8.01141781858285,1605.043969,113.39611039562
41.063,16.9358,,,2.82942972459892,41.063,,8.00567256644394,1686.169969,116.184872781206
42.063,16.9189,,,2.82843134024439,42.063,,8.00002384647666,1769.295969,118.9723074647
43.063,16.9005,,,2.82734320729019,43.063,,7.99386961181,1854.421969,121.753880535538
44.064,16.8831,,,2.82631312159544,44.064,,7.98804586130258,1941.636096,124.538661389982
45.064,16.8655,,,2.82527011527248,45.064,,7.98215122425179,2030.764096,127.317972474639
46.064,16.8476,,,2.82420821341937,46.064,,7.97615203274545,2121.892096,130.09432714295
47.064,16.8301,,,2.82316894995571,47.064,,7.97028291999403,2215.020096,132.869623460716
48.063,16.8118,,,2.82208102080754,48.063,,7.96414128800211,2310.051969,135.637680103073
49.063,16.7947,,,2.82106336044566,49.063,,7.95839848364893,2407.177969,138.409831653545
50.064,16.777,,,2.82000890078826,50.064,,7.95245020052503,2506.404096,141.180925609064
51.063,16.7591,,,2.81894139432807,51.063,,7.94643058465628,2607.429969,143.943604418574
52.064,16.7411,,,2.81786677377463,52.064,,7.94037315474303,2710.660096,146.709415709802
53.063,16.7226,,,2.81676109795966,53.063,,7.93414308297889,2815.681969,149.465794141033
54.063,16.7067,,,2.81580983656926,54.063,,7.9287850357202,2922.807969,152.231127194444
55.063,16.6894,,,2.81477378735708,55.063,,7.92295147399251,3031.933969,154.989889053243
56.064,16.6723,,,2.8137486596509,56.064,,7.91718151968726,3143.172096,157.750004854668
57.063,16.6539,,,2.81264442323213,57.063,,7.91096865153881,3256.185969,160.497928722895
58.063,16.6359,,,2.81156301080225,58.063,,7.9048865637114,3371.311969,163.247783096211
59.063,16.6178,,,2.81047441002775,59.063,,7.89876640942083,3488.437969,165.995050079469
60.064,16.601,,,2.80946293451194,60.064,,7.89308198039644,3607.684096,168.747581698525
61.063,16.5838,,,2.80842631524407,61.063,,7.88725836815537,3728.689969,171.490936087749
62.064,16.5658,,,2.80734032918276,62.064,,7.88115972385594,3851.940096,174.234770190399
63.063,16.549,,,2.80632567703681,63.063,,7.87546380559609,3976.941969,176.975316170972
64.063,16.5308,,,2.80522530751605,64.063,,7.8692890259285,4104.067969,179.711148875401
65.063,16.5135,,,2.80417822819643,65.063,,7.86341553549087,4233.193969,182.448248061144
66.063,16.4966,,,2.80315429906707,66.063,,7.8576740243782,4364.319969,185.184782459268
67.064,16.4783,,,2.80204436382064,67.064,,7.85145261681903,4497.580096,187.916303215268
