t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
0,12.0956,,,2.49284175010732,0,,6.21425999107815,0,0
1.049,12.0723,,,2.4909135720514,1.049,,6.20465042342987,1.100401,2.61296833708192
2.056,12.0531,,,2.48932188826141,2.056,,6.19672346337735,4.227136,5.11804580226546
3.056,12.0328,,,2.48763625435887,3.056,,6.18833413400061,9.339136,7.6022163933207
4.056,12.0126,,,2.48595609892357,4.056,,6.1799777257753,16.451136,10.083037937234
5.056,11.9909,,,2.4841480287745,5.056,,6.17099142886422,25.563136,12.5598524334839
6.056,11.9694,,,2.48235339300028,6.056,,6.16207836774002,36.675136,15.0331321480097
7.057,11.9481,,,2.48057226992045,7.057,,6.15323878629827,49.801249,17.5053985088286
8.056,11.9266,,,2.47877119968192,8.056,,6.14430666037253,64.899136,19.9689807846375
9.057,11.9049,,,2.47695008007154,9.057,,6.13528169916643,82.029249,22.433736875208
10.056,11.8831,,,2.4751172226558,10.056,,6.12620526588737,101.123136,24.8897787910267
11.057,11.8618,,,2.47332315271125,11.057,,6.11732741773752,122.257249,27.3475340995283
12.056,11.8398,,,2.4714667374213,12.056,,6.10814783417988,145.347136,29.7960029863512
13.056,11.8186,,,2.46967456164658,13.056,,6.09929244044421,170.459136,32.2440710768577
14.056,11.7968,,,2.46782830825325,14.056,,6.09017655901609,197.571136,34.6877947008077
15.056,11.7756,,,2.46602959401831,15.056,,6.08130195857412,226.683136,37.1285415675397
16.056,11.7552,,,2.46429569588388,16.056,,6.0727532767518,257.795136,39.5667316931115
17.057,11.7335,,,2.46244799838051,17.057,,6.06365014472819,290.941249,42.0019755083764
18.057,11.7122,,,2.46063103357589,18.057,,6.05470508339673,326.055249,44.4316145732798
19.057,11.6904,,,2.45876799217831,19.057,,6.04554003936054,363.169249,46.856741626942
20.056,11.6686,,,2.45690147337792,20.056,,6.03636484988661,402.243136,49.2756159500676
21.056,11.6484,,,2.45516883152404,21.056,,6.02785399128714,443.355136,51.6960349165703
22.056,11.6266,,,2.45329557641128,22.056,,6.01865918523913,486.467136,54.1098872333271
23.056,11.6053,,,2.4514618903186,23.056,,6.00966539968442,531.579136,56.5209053431856
24.056,11.5851,,,2.44971978969862,24.056,,6.00112704804104,578.691136,58.93045926099
25.057,11.5633,,,2.44783628963427,25.057,,5.99190250085048,627.853249,61.3354339093659
26.056,11.5418,,,2.44597522811924,26.056,,5.98279481657295,678.915136,63.7323305438748
27.056,11.5216,,,2.44422353451247,27.056,,5.97422868666461,732.027136,66.1309119497693
28.057,11.5005,,,2.44239051268492,28.057,,5.96527141645332,787.195249,68.5261506144009
29.056,11.4808,,,2.44067607487459,29.056,,5.95689970246521,844.251136,70.916284031556
30.056,11.4596,,,2.43882780666347,30.056,,5.94788107055497,903.363136,73.3014085570773
31.057,11.4393,,,2.43705479526835,31.057,,5.93923607514047,964.537249,75.6876107766492
32.056,11.4183,,,2.43521733150064,32.056,,5.93028345164107,1027.587136,78.0633267785844
33.057,11.3971,,,2.43335893707394,33.057,,5.92123571663761,1092.765249,80.4395463828532
34.057,11.3771,,,2.43160256318231,34.057,,5.91269102527476,1159.879249,82.8130884942998
35.057,11.3568,,,2.42981668347004,35.057,,5.90400911526935,1228.993249,85.1820834724092
36.057,11.3364,,,2.42801878758095,36.057,,5.89527523284608,1300.107249,87.5470734238064
37.056,11.3166,,,2.42627067430304,37.056,,5.88678938498294,1373.147136,89.9078861069736
38.057,11.2955,,,2.42440441631514,38.057,,5.87773677384836,1448.335249,92.2655588717053
39.057,11.2751,,,2.42259675452901,39.057,,5.8689750350545,1525.449249,94.6193614416396
40.057,11.2544,,,2.42075916329753,40.057,,5.86007492668894,1604.563249,96.968349804209
41.056,11.2351,,,2.41904280635425,41.056,,5.85176809897422,1685.595136,99.3162214576799
42.056,11.2145,,,2.41720758383074,42.056,,5.84289250332886,1768.707136,101.658082145586
43.056,11.1952,,,2.4154851150095,43.056,,5.83456834083243,1853.819136,104.001127111849
44.057,11.1736,,,2.41355385300942,44.057,,5.82524220137664,1941.019249,106.333942102036
45.056,11.154,,,2.41179817796736,45.056,,5.81677045124669,2030.043136,108.665978706497
46.056,11.135,,,2.41009330070933,46.056,,5.808549718124,2121.155136,110.999257057469
47.056,11.1148,,,2.40827755355207,47.056,,5.79980077494273,2214.267136,113.323908559946
48.056,11.0947,,,2.40646751681214,48.056,,5.79108590947199,2309.379136,115.645202987924
49.056,11.0826,,,2.40537631083119,49.056,,5.78583519670787,2406.491136,117.998140304135
50.057,11.0521,,,2.40262045515632,50.057,,5.77258505153556,2505.703249,120.26797212376
51.056,11.0342,,,2.40099954047897,51.056,,5.76479879338024,2606.715136,122.585432538694
52.056,11.0136,,,2.3991308727666,52.056,,5.75582894466181,2709.827136,124.889156712738
53.057,10.9936,,,2.39731328529467,53.057,,5.74711098785035,2815.045249,127.19425097788
54.056,10.9735,,,2.39548327536078,54.056,,5.73834012253319,2922.051136,129.490243932902
55.057,10.9541,,,2.39371381540513,55.057,,5.72986583006136,3031.273249,131.79070153476
56.057,10.9343,,,2.39190463744779,56.057,,5.72120779464425,3142.387249,134.082998261411
57.056,10.9141,,,2.39005553126559,57.056,,5.71236544253322,3255.387136,136.367008391889
58.056,10.8943,,,2.38823971667668,58.056,,5.70368894431191,3370.499136,138.651644991381
