t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
0,16.2003,,,2.78502976058539,0,,7.75639076734632,0,0
1.048,16.189,,,2.78433199925937,1.048,,7.75250468209968,1.098304,2.91797993522382
2.098,16.1786,,,2.78368938131069,2.098,,7.74892657162187,4.401604,5.84018032198982
3.144,16.17,,,2.78315767358902,3.144,,7.74596663605742,9.884736,8.75024772576387
4.144,16.1605,,,2.78256999320836,4.144,,7.74269576710356,17.172736,11.5309700518554
5.144,16.1492,,,2.78187051283802,5.144,,7.73880355019768,26.460736,14.3099419180388
6.144,16.1387,,,2.78122011436862,6.144,,7.73518532456859,37.748736,17.0878163826808
7.144,16.1289,,,2.78061269390343,7.144,,7.73180695349687,51.036736,19.8646970852461
8.144,16.117,,,2.77987461554058,8.144,,7.72770287812689,66.324736,22.6392988689625
9.144,16.1076,,,2.77929121029945,9.144,,7.7244596316478,83.612736,25.4138388269782
10.144,16.097,,,2.77863291922409,10.144,,7.7208008997958,102.900736,28.1864523326092
11.144,16.0848,,,2.77787472666902,11.144,,7.71658799706647,124.188736,30.9566359539995
12.144,16.0727,,,2.77712218057115,12.144,,7.71240760582028,147.476736,33.7253717608561
13.144,16.0647,,,2.77662431825714,13.144,,7.70964260473691,172.764736,36.4959500391718
14.145,16.0511,,,2.7757773830531,14.145,,7.7049400802691,200.081025,39.2633710832861
15.144,16.0435,,,2.77530378312401,15.144,,7.70231108862244,229.340736,42.02920049163
16.145,16.0301,,,2.77446820490519,16.145,,7.6976738200298,260.661025,44.7937891681942
17.144,16.0215,,,2.77393157021572,17.144,,7.69469635623947,293.916736,47.5562828397784
18.145,16.0106,,,2.77325100288353,18.145,,7.69092112499452,329.241025,50.3206394473217
19.145,15.9991,,,2.77253247065769,19.145,,7.68693630085124,366.531025,53.0801341507415
20.144,15.9881,,,2.77184469552053,20.144,,7.68312301608533,405.780736,55.8360395465656
21.144,15.9782,,,2.77122529319268,21.144,,7.67968962563083,447.068736,58.5947875992659
22.144,15.9661,,,2.77046772451353,22.144,,7.67549141257115,490.356736,61.3492372916275
23.144,15.9546,,,2.76974718890512,23.144,,7.67149949044784,535.644736,64.1030289400202
24.145,15.9442,,,2.76909512673548,24.145,,7.6678878209102,582.981025,66.8598018350282
25.144,15.9328,,,2.76837987746573,25.144,,7.66392714595715,632.220736,69.6081436389982
26.144,15.9223,,,2.76772064234292,26.144,,7.6602775540511,683.508736,72.3592884734133
27.144,15.9125,,,2.76710496388353,27.144,,7.65686988114884,736.796736,75.1102971396544
28.144,15.9016,,,2.76641973309425,28.144,,7.65307813965327,792.084736,77.8581169682046
29.144,15.8906,,,2.76572773943298,29.144,,7.64924992866906,849.372736,80.6043692380348
30.144,15.8804,,,2.76508564441863,30.144,,7.64569862097,908.660736,83.3507416653552
31.144,15.8696,,,2.76440532943176,31.144,,7.64193682539073,969.948736,86.0946395798228
32.144,15.8593,,,2.76375607904099,32.144,,7.63834766443605,1033.236736,88.8381754046937
33.145,15.8486,,,2.76308116834643,33.145,,7.63461754287065,1098.591025,91.5823253248423
34.145,15.8367,,,2.76233003134854,34.145,,7.63046720209004,1165.881025,94.319758920396
35.145,15.8262,,,2.76166679453922,35.145,,7.62680348406055,1235.171025,97.058779494081
36.145,15.8169,,,2.76107898864993,36.145,,7.62355718156412,1306.461025,99.7992000447517
37.144,15.8064,,,2.76041492130807,37.144,,7.61989053778025,1379.676736,102.532851837067
38.145,15.7949,,,2.75968710311656,38.145,,7.6158729071079,1455.041025,105.268264548381
39.144,15.7847,,,2.75904111644449,39.144,,7.61230788223126,1532.252736,107.999905462103
40.144,15.7737,,,2.75834399615668,40.144,,7.60846160113359,1611.540736,110.730961381714
41.144,15.7631,,,2.75767176559434,41.144,,7.6047535667562,1692.828736,113.461647123613
42.144,15.7529,,,2.75702447530648,42.144,,7.60118395743895,1776.116736,116.192039487316
43.144,15.7412,,,2.75628147896505,43.144,,7.59708759128577,1861.404736,118.917008128468
44.145,15.7309,,,2.7556269309452,44.145,,7.59347978255048,1948.781025,121.647150866576
45.145,15.721,,,2.75499739820938,45.145,,7.59001066414044,2038.071025,124.374357542162
46.145,15.7097,,,2.75427835596807,46.145,,7.5860492621542,2129.361025,127.096174736147
47.145,15.7011,,,2.75373077359418,47.145,,7.58303317343962,2222.651025,129.824637321098
48.144,15.6883,,,2.75291521160769,48.144,,7.57854216230099,2317.844736,132.53634994764
49.144,15.68,,,2.75238601492226,49.144,,7.57562877513965,2415.132736,135.26325831734
