t,p
7,8.2
11,8.3
13,8.4
17,8.3
19,8.4
20,8.7
21,8.9
22,9.2
23,10
24,12
25,13
26,14
27,16
28,17
29,18
30,19
31,20
32,22
33,23
34,24
35,25
36,26
37,27
38,29
40,31
42,33
44,35
46,37
48,40
50,42
52,44
54,47
56,49
58,52
60,54
62,56
64,58
66,61
68,63
73,70
78,76
80,78

82,74
83,71
84,66
85,55
86,46
87,38
88,33
90,23
92,17
96,13
98,12
100,11
102,10
104,9.9
109,9.3
115,9
120,8.9
127,8.8
