t,T
0, 22.1
60, 22.1
120, 22.1
180, 22.1
245, 22.1
250, 21.5
256, 20.6
270, 20.5
280, 20.5
290, 20.5
320, 20.5
340, 20.5
360, 20.5
420, 20.6
480, 20.6
