t,T
0, 21.9
60, 21.9
120, 21.9
180, 21.9
240, 21.9
300, 21.9
360, 21.9
420, 21.9
435, 21.5
439, 21.4
450, 21.4
460, 21.4
530, 21.4
567, 21.4
